method,gene
nnSVG,RNASE1
nnSVG,NDRG2
nnSVG,HNRNPC
nnSVG,OXA1L
nnSVG,MRPL52
nnSVG,LRP10
nnSVG,PSME1
nnSVG,PSME2
nnSVG,NEDD8
nnSVG,CTSG
nnSVG,RPS29
nnSVG,RPL36AL
nnSVG,AL627171.2
nnSVG,LGALS3
nnSVG,ZFP36L1
nnSVG,SRSF5
nnSVG,ACOT1
nnSVG,NPC2
nnSVG,CALM1
nnSVG,NDUFB1
nnSVG,IFI27
nnSVG,IFI27L2
nnSVG,EVL
nnSVG,DYNC1H1
nnSVG,HSP90AA1
nnSVG,CKB
nnSVG,ATP5MPL
nnSVG,SIVA1
nnSVG,AHNAK2
nnSVG,CRIP2
nnSVG,CRIP1
nnSVG,SRP14
nnSVG,SPINT1
nnSVG,SERF2
nnSVG,B2M
nnSVG,ANXA2
nnSVG,TPM1
nnSVG,PPIB
nnSVG,RAB11A
nnSVG,RPL4
nnSVG,RPLP1
nnSVG,PKM
nnSVG,ISLR
nnSVG,COX5A
nnSVG,ACSBG1
nnSVG,MORF4L1
nnSVG,CTSH
nnSVG,TMED3
nnSVG,RPS17
nnSVG,MFGE8
nnSVG,IDH2
nnSVG,CIB1
nnSVG,RHOT2
nnSVG,STUB1
nnSVG,TPSB2
nnSVG,TPSAB1
nnSVG,NME3
nnSVG,MRPS34
nnSVG,SPSB3
nnSVG,NDUFB10
nnSVG,RPS2
nnSVG,SNHG9
nnSVG,PKD1
nnSVG,DNASE1L2
nnSVG,ECI1
nnSVG,ATP6V0C
nnSVG,SRRM2
nnSVG,ELOB
nnSVG,HCFC1R1
nnSVG,PPL
nnSVG,MYH11
nnSVG,RPS15A
nnSVG,NUPR1
nnSVG,TUFM
nnSVG,TMEM219
nnSVG,ALDOA
nnSVG,BCL7C
nnSVG,FUS
nnSVG,PYCARD
nnSVG,MMP2
nnSVG,MT2A
nnSVG,MT1E
nnSVG,MT1X
nnSVG,ADGRG1
nnSVG,CIAO2B
nnSVG,ATP6V0D1
nnSVG,COX4I1
nnSVG,CYBA
nnSVG,MVD
nnSVG,APRT
nnSVG,TRAPPC2L
nnSVG,SPG7
nnSVG,RPL13
nnSVG,TCF25
nnSVG,YWHAE
nnSVG,MYO1C
nnSVG,PRPF8
nnSVG,SERPINF1
nnSVG,CLUH
nnSVG,PSMB6
nnSVG,SLC25A11
nnSVG,RNF167
nnSVG,PFN1
nnSVG,RNASEK
nnSVG,C17orf49
nnSVG,ACADVL
nnSVG,GABARAP
nnSVG,EIF5A
nnSVG,TMEM256
nnSVG,EIF4A1
nnSVG,NAA38
nnSVG,ALOX15B
nnSVG,PER1
nnSVG,RPL26
nnSVG,UBB
nnSVG,SNHG29
nnSVG,SREBF1
nnSVG,MFAP4
nnSVG,ALDH3A2
nnSVG,RPL23A
nnSVG,CCL14
nnSVG,PSMB3
nnSVG,RPL23
nnSVG,RPL19
nnSVG,IGFBP4
nnSVG,KRT25
nnSVG,KRT10
nnSVG,KRT15
nnSVG,KRT14
nnSVG,KRT16
nnSVG,KRT17
nnSVG,EIF1
nnSVG,JUP
nnSVG,RAB5C
nnSVG,CAVIN1
nnSVG,RPL27
nnSVG,VAT1
nnSVG,GRN
nnSVG,ATP5MC1
nnSVG,PHB
nnSVG,COL1A1
nnSVG,NME2
nnSVG,MRC2
nnSVG,PSMC5
nnSVG,SMARCD2
nnSVG,SNHG25
nnSVG,DDX5
nnSVG,RPL38
nnSVG,ATP5PD
nnSVG,SUMO2
nnSVG,ITGB4
nnSVG,H3F3B
nnSVG,SRSF2
nnSVG,SEPTIN9
nnSVG,SYNGR2
nnSVG,TIMP2
nnSVG,SLC38A10
nnSVG,ACTG1
nnSVG,P4HB
nnSVG,ARHGDIA
nnSVG,ANAPC11
nnSVG,CENPX
nnSVG,DCXR
nnSVG,GPS1
nnSVG,DUS1L
nnSVG,FASN
nnSVG,MYL12A
nnSVG,MYL12B
nnSVG,NDUFV2
nnSVG,APCDD1
nnSVG,CIDEA
nnSVG,DSC3
nnSVG,DSG1
nnSVG,ATP5F1A
nnSVG,RPL17
nnSVG,CYB5A
nnSVG,BSG
nnSVG,PTBP1
nnSVG,CFD
nnSVG,TMEM259
nnSVG,POLR2E
nnSVG,GPX4
nnSVG,ATP5F1D
nnSVG,CIRBP
nnSVG,NDUFS7
nnSVG,RPS15
nnSVG,UQCR11
nnSVG,ABHD17A
nnSVG,OAZ1
nnSVG,LSM7
nnSVG,TIMM13
nnSVG,TLE5
nnSVG,MFSD12
nnSVG,HMG20B
nnSVG,EEF2
nnSVG,MAP2K2
nnSVG,UBXN6
nnSVG,MYDGF
nnSVG,PLIN3
nnSVG,RPL36
nnSVG,MICOS13
nnSVG,NDUFA11
nnSVG,ALKBH7
nnSVG,C3
nnSVG,PET100
nnSVG,TRAPPC5
nnSVG,CERS4
nnSVG,NDUFA7
nnSVG,RPS28
nnSVG,UBL5
nnSVG,EIF3G
nnSVG,CDC37
nnSVG,SLC44A2
nnSVG,ILF3
nnSVG,DNM2
nnSVG,PRKCSH
nnSVG,WDR83OS
nnSVG,TRIR
nnSVG,PRDX2
nnSVG,CALR
nnSVG,GADD45GIP1
nnSVG,C19orf53
nnSVG,TECR
nnSVG,NDUFB7
nnSVG,ILVBL
nnSVG,NOTCH3
nnSVG,TPM4
nnSVG,PGLS
nnSVG,RPL18A
nnSVG,JUND
nnSVG,LSM4
nnSVG,FKBP8
nnSVG,UBA52
nnSVG,REX1BD
nnSVG,COPE
nnSVG,NDUFA13
nnSVG,UQCRFS1
nnSVG,CEBPA
nnSVG,GPI
nnSVG,SCGB1B2P
nnSVG,FXYD3
nnSVG,KRTDAP
nnSVG,DMKN
nnSVG,SBSN
nnSVG,TMEM147
nnSVG,COX6B1
nnSVG,POLR2I
nnSVG,CAPNS1
nnSVG,COX7A1
nnSVG,SPINT2
nnSVG,C19orf33
nnSVG,PSMD8
nnSVG,EIF3K
nnSVG,ACTN4
nnSVG,LGALS7
nnSVG,LGALS7B
nnSVG,ECH1
nnSVG,HNRNPL
nnSVG,RPS16
nnSVG,FBL
nnSVG,PLD3
nnSVG,BLVRB
nnSVG,LTBP4
nnSVG,HNRNPUL1
nnSVG,TMEM91
nnSVG,RPS19
nnSVG,RABAC1
nnSVG,LYPD3
nnSVG,APOE
nnSVG,APOC1
nnSVG,TRAPPC6A
nnSVG,SNRPD2
nnSVG,AP2S1
nnSVG,NAPA
nnSVG,EHD2
nnSVG,NOP53
nnSVG,SELENOW
nnSVG,EMP3
nnSVG,RPL18
nnSVG,BCAT2
nnSVG,FTL
nnSVG,SNRNP70
nnSVG,RPL13A
nnSVG,RPS11
nnSVG,FCGRT
nnSVG,PRMT1
nnSVG,ETFB
nnSVG,PPP2R1A
nnSVG,NDUFA3
nnSVG,RPS9
nnSVG,PPP1R12C
nnSVG,RPL28
nnSVG,RPS5
nnSVG,TRIM28
nnSVG,CHMP2A
nnSVG,UBE2M
nnSVG,FKBP1A
nnSVG,SNRPB
nnSVG,MRPS26
nnSVG,DSTN
nnSVG,CST3
nnSVG,APMAP
nnSVG,PYGB
nnSVG,ID1
nnSVG,RALY
nnSVG,ACSS2
nnSVG,EIF6
nnSVG,ERGIC3
nnSVG,ROMO1
nnSVG,RBM39
nnSVG,SCAND1
nnSVG,NORAD
nnSVG,MYL9
nnSVG,CCN5
nnSVG,YWHAB
nnSVG,SLPI
nnSVG,SDC4
nnSVG,PIGT
nnSVG,CTSA
nnSVG,ZFAS1
nnSVG,CEBPB
nnSVG,GNAS
nnSVG,ATP5F1E
nnSVG,PSMA7
nnSVG,ADRM1
nnSVG,LAMA5
nnSVG,RPS21
nnSVG,PPDPF
nnSVG,ATP5PF
nnSVG,SOD1
nnSVG,ATP5PO
nnSVG,PDXK
nnSVG,CSTB
nnSVG,AGPAT3
nnSVG,PFKL
nnSVG,COL18A1
nnSVG,COL6A1
nnSVG,COL6A2
nnSVG,SLC25A1
nnSVG,CLDN5
nnSVG,CHCHD10
nnSVG,MIF
nnSVG,DDT
nnSVG,UQCR10
nnSVG,SMTN
nnSVG,SELENOM
nnSVG,TIMP3
nnSVG,MYH9
nnSVG,LGALS1
nnSVG,EIF3L
nnSVG,DDX17
nnSVG,RPL3
nnSVG,ATF4
nnSVG,RPS19BP1
nnSVG,ST13
nnSVG,RBX1
nnSVG,SNU13
nnSVG,SMDT1
nnSVG,NDUFA6
nnSVG,CYB5R3
nnSVG,TSPO
nnSVG,KIAA0930
nnSVG,FBLN1
nnSVG,PLXNB2
nnSVG,LMF2
nnSVG,TYMP
nnSVG,SLC25A6
nnSVG,CD99
nnSVG,TMSB4X
nnSVG,SAT1
nnSVG,EIF2S3
nnSVG,DDX3X
nnSVG,NDUFB11
nnSVG,UBA1
nnSVG,TIMP1
nnSVG,UXT
nnSVG,EBP
nnSVG,RBM3
nnSVG,WDR13
nnSVG,PLP2
nnSVG,MAGED2
nnSVG,AWAT2
nnSVG,RPS4X
nnSVG,XIST
nnSVG,COX7B
nnSVG,PGK1
nnSVG,RPL36A
nnSVG,PGRMC1
nnSVG,SLC25A5
nnSVG,RPL39
nnSVG,NDUFA1
nnSVG,BCAP31
nnSVG,SSR4
nnSVG,FLNA
nnSVG,RPL10
nnSVG,MT-ND1
nnSVG,MT-ND2
nnSVG,MT-CO1
nnSVG,MT-CO2
nnSVG,MT-ATP6
nnSVG,MT-CO3
nnSVG,MT-ND3
nnSVG,MT-ND4L
nnSVG,MT-ND4
nnSVG,MT-ND5
nnSVG,MT-CYB
moran_I,IFI27L2
moran_I,COX7A1
moran_I,CD151
moran_I,SQSTM1
moran_I,MYL12A
moran_I,TAF10
moran_I,PSMD2
moran_I,DYNLL1
moran_I,MAGED2
moran_I,CSNK1A1
moran_I,SEM1
moran_I,CTSK
moran_I,SOAT1
moran_I,PRPF8
moran_I,TCHH
moran_I,EZR
moran_I,MGST3
moran_I,ARL2
moran_I,BSG
moran_I,NBL1
moran_I,TRAPPC2L
moran_I,RHOT2
moran_I,HRAS
moran_I,PDGFRB
moran_I,TUFM
moran_I,FKBP8
moran_I,SF1
moran_I,TUBB4B
moran_I,SH3BGRL3
moran_I,NUMA1
moran_I,CYC1
moran_I,EEF1B2
moran_I,RPS5
moran_I,KRT15
moran_I,PSMB6
moran_I,HLA-DMA
moran_I,CTSA
moran_I,UBXN6
moran_I,RHOC
moran_I,GAS5
moran_I,RPL28
moran_I,ESRRA
moran_I,HMGCS1
moran_I,UPK3BL1
moran_I,FLG2
moran_I,NINJ1
moran_I,SEC61B
moran_I,MVD
moran_I,ATP6V1F
moran_I,MT-ND5
moran_I,PPP1R14B
moran_I,CXCL14
moran_I,PFDN5
moran_I,CHMP2A
moran_I,MFGE8
moran_I,RPS18
moran_I,DSC3
moran_I,RPS28
moran_I,NAA38
moran_I,DUS1L
moran_I,PSMB7
moran_I,FTL
moran_I,SERINC2
moran_I,RPL3
moran_I,SDC1
moran_I,MT2A
moran_I,FAU
moran_I,CD63
moran_I,GNB2
moran_I,UBL5
moran_I,NRBP1
moran_I,SLC25A1
moran_I,SLPI
moran_I,VAMP8
moran_I,UQCR11
moran_I,ADAM15
moran_I,EGFL7
moran_I,ACAP3
moran_I,HOPX
moran_I,PGLS
moran_I,EHBP1L1
moran_I,NCL
moran_I,KLF4
moran_I,SOD1
moran_I,NIBAN2
moran_I,CDHR1
moran_I,ILK
moran_I,ALDH3A2
moran_I,TGFBI
moran_I,KRT25
moran_I,ATP5ME
moran_I,KRT6A
moran_I,PLEC
moran_I,FCGRT
moran_I,PLP2
moran_I,UBE2D3
moran_I,COX5A
moran_I,MTRNR2L1
moran_I,ANXA11
moran_I,PSAPL1
moran_I,IGFBP6
moran_I,PM20D1
moran_I,CD59
moran_I,YWHAB
moran_I,ERGIC3
moran_I,SPTAN1
moran_I,NDUFA11
moran_I,HSPG2
moran_I,RAB1B
moran_I,B2M
moran_I,HSP90B1
moran_I,SLC38A10
moran_I,CCNL2
moran_I,ATP5MD
moran_I,YWHAE
moran_I,NDUFC2
moran_I,MRPL41
spark,RPL31
spark,RPS6KB2
spark,RPL5
spark,QARS
spark,MRPS21
spark,NDUFC1
spark,RPL35A
spark,VIM
spark,H1FX
spark,CRAT
spark,RAC1
spark,CDHR1
spark,LAMTOR4
spark,RPS14
spark,GNB2
spark,S100A11
spark,DDR1
spark,CANX
spark,PM20D1
spark,RPLP2
spark,HLA-DPA1
spark,ATRAID
spark,RPS20
spark,NHP2
spark,MEGF6
spark,PMVK
spark,GTF2I
spark,LAMB2
spark,TPM2
spark,RPS3A
spark,NINJ1
spark,PI16
spark,EZR
spark,TACSTD2
spark,GUK1
spark,HMGN2
spark,GM2A
spark,PKP3
spark,AUP1
spark,TIMM10
spark,HNRNPH1
spark,RTN3
spark,RPL32
spark,NDUFB2
spark,COX7C
spark,PLIN2
spark,AQP3
spark,COL3A1
spark,DPM3
spark,GSTK1
spark,EDF1
spark,CD34
spark,ILK
spark,HNRNPA2B1
spark,CSDE1
spark,SOD3
spark,CYC1
spark,EEF1D
spark,MGAT1
spark,FTH1
spark,TUBA4A
spark,PKP1
spark,UQCRH
spark,RPS18
spark,CCNL2
spark,CHI3L1
spark,UBXN1
spark,MIR205HG
spark,NEAT1
spark,PTMA
spark,MZT2B
spark,UBE2D3
spark,TAF10
spark,UQCRC1
spark,SH3GLB2
spark,EIF4G1
spark,RARRES2
spark,MSMO1
spark,CXCL12
spark,CLSTN1
spark,RER1
spark,HLA-DPB1
spark,LMAN2
spark,FSTL1
spark,NENF
spark,UQCRB
spark,CFH
spark,PSMB1
spark,SFPQ
spark,SSR2
spark,ACSL1
spark,PTGDS
spark,RPS23
spark,FBXW5
spark,ABLIM1
spark,NBEAL2
spark,FGFR3
spark,RPL15
spark,CD14
spark,EEF1A1
spark,CNBP
spark,NDUFB9
spark,GAS5
spark,ZNHIT1
spark,NDUFS6
spark,EGFL7
spark,ATP6V1F
spark,LSP1
spark,PODN
spark,FIS1
spark,S100A13
spark,SDC1
spark,PABPC1
spark,CD81
spark,PSMD13
spark,RPSA
spark,ELOVL1
spark,CLTB
spark,RPL22
spark,CD248
spark,CST6
spark,BSCL2
spark,FAU
spark,TMA7
spark,RPS12
spark,SPTAN1
spark,S100A14
spark,HNRNPA3
spark,HNRNPD
spark,NCL
spark,MXRA8
spark,C1QA
spark,ARPC2
spark,POLD4
spark,FDPS
spark,DSP
spark,COL1A2
spark,AP2M1
spark,SARAF
spark,ITGB5
spark,RPS13
spark,S100A2
spark,IGFBP7
spark,SF3B1
spark,CALML3
spark,RPL14
spark,HLA-DMA
spark,RABL6
spark,NDUFA10
spark,TNXB
spark,HINT1
spark,RPL7A
spark,ACAA1
spark,PDAP1
spark,CDC42
spark,EIF4G2
spark,SH3BGRL3
spark,ATP5MC3
spark,SKP1
spark,INTS1
spark,RPS6
spark,FDFT1
spark,NDUFA4
spark,ARPC4
spark,PRELID1
spark,FLNB
spark,UPK3BL1
spark,APOD
spark,HOPX
spark,FADS1
spark,MICOS10
spark,ENSA
spark,MUC1
spark,RPL37
spark,TMEM59
spark,GPAA1
spark,DDX39B
spark,PRXL2A
spark,SEC61A1
spark,SFRP2
spark,PDCD4
spark,AHNAK
spark,S100A16
spark,ARF1
spark,PPIA
spark,DEGS1
spark,HRAS
spark,CSNK1A1
spark,MTCH1
spark,HLA-E
spark,HTRA1
spark,EIF3E
spark,DUSP1
spark,SERBP1
spark,TCHH
spark,LRPAP1
spark,ATP5MD
spark,HLA-DRB5
spark,DRAP1
spark,ENG
spark,GAL
spark,RPL30
spark,ALDH3B2
spark,RTN4
spark,RPL11
spark,HMGCS1
spark,CCT7
spark,CDSN
spark,ZNF706
spark,PERP
spark,EIF3B
spark,GSTP1
spark,ATP6V1G1
spark,NPM1
spark,EIF3F
spark,EPS8L2
spark,C1orf122
spark,COX8A
spark,SOAT1
spark,NDUFA2
spark,RPS7
spark,LTBP3
spark,COL16A1
spark,AEBP1
spark,RPL29
spark,LDHA
spark,VPS51
spark,ANAPC16
spark,PDLIM4
spark,ADIRF
spark,LAPTM4A
spark,MRPL14
spark,PHLDA3
spark,CD44
spark,NISCH
spark,RXRA
spark,CALML5
spark,RHOC
spark,YWHAQ
spark,PGRMC2
spark,SNHG5
spark,CCNI
spark,PRR9
spark,VCP
spark,GPC1
spark,COPS9
spark,TGFBI
spark,PPP1R14B
spark,PLEC
spark,TXN
spark,PTPA
spark,ATP5MF
spark,VAMP5
spark,MTRNR2L12
spark,VPS28
spark,TMSB10
spark,HLA-DRA
spark,TKT
spark,RPL35
spark,RPS8
spark,HLA-DQB1
spark,YBX1
spark,NPDC1
spark,SCGB1D2
spark,NDRG1
spark,RPL12
spark,ENO1
spark,RPL24
spark,RPL7
spark,RAB1A
spark,TMEM258
spark,FLG2
spark,GPX3
spark,HLA-DRB1
spark,CXCL14
spark,TM7SF2
spark,GRK2
spark,PLXNB1
spark,HNRNPU
spark,EIF4H
spark,ESRRA
spark,ELOVL3
spark,CTSD
spark,TUBB4B
spark,PRDX6
spark,HSP90AB1
spark,TMED9
spark,S100A4
spark,S100A6
spark,HMGA1
spark,COL17A1
spark,RACK1
spark,SRSF11
spark,ACTA2
spark,SEC61B
spark,VAMP8
spark,MACF1
spark,MAT2A
spark,CTNNB1
spark,SSNA1
spark,CALD1
spark,PARK7
spark,HLA-A
spark,RBM5
spark,SDF4
spark,CUTA
spark,CDKN1A
spark,TSTD1
spark,MXD4
spark,COX6C
spark,PRDX5
spark,AZGP1
spark,FBLN2
spark,ECM1
spark,CSNK2B
spark,CSRP1
spark,HLA-B
spark,GRINA
spark,ACAP3
spark,PLAC9
spark,ACKR1
spark,UQCRQ
spark,IFITM3
spark,CCND1
spark,SELENOH
spark,MRPL41
spark,TALDO1
spark,S100A10
spark,GNB1
spark,DST
spark,DBI
spark,TAPBP
spark,HIGD2A
spark,FABP5
spark,PSAPL1
spark,RPL9
spark,PTPRF
spark,CHCHD2
spark,DDB1
spark,FADS2
spark,IFITM2
spark,LMNA
spark,CTSK
spark,SERINC2
spark,SARS
spark,TUBB
spark,CLIC1
spark,JTB
spark,COQ4
spark,ECHS1
spark,RPL34
spark,TOMM7
spark,REEP5
spark,GPNMB
spark,HSPE1
spark,SRSF3
spark,SF1
spark,COX5B
spark,TMEM134
spark,SYT8
spark,ADAM15
spark,SPARC
spark,INSIG1
spark,HNRNPDL
spark,HLA-C
spark,SNHG6
spark,KLF4
spark,PSMB7
spark,HNRNPK
spark,SF3B5
spark,OST4
spark,ATP6V0B
spark,RPL37A
spark,SNHG8
spark,COL7A1
spark,EHBP1L1
spark,NAGK
spark,NDUFS5
spark,GNAI2
spark,LY6E
spark,SLC3A2
spark,COX7A2
spark,PUF60
spark,DHCR7
spark,IGFBP5
spark,GHITM
spark,SLIT3
spark,PSAP
spark,NDUFV1
spark,CD151
spark,RPS10
spark,GLUL
spark,RPS24
spark,SEM1
spark,AKR1A1
spark,CTSB
spark,LY6D
spark,VEGFB
spark,EEF1B2
spark,YWHAZ
spark,HADHA
spark,ATP1B3
spark,ATP5ME
spark,MGST3
spark,CLDN1
spark,PIP
spark,ANXA6
spark,SERPING1
spark,RPL27A
spark,ATP1A1
spark,CAPN1
spark,RNH1
spark,HDLBP
spark,DPP7
spark,PCBP1
spark,FABP4
spark,ATP5IF1
spark,PRDX1
spark,WASHC1
spark,H3F3A
spark,ACTB
spark,EIF4A2
spark,PCOLCE
spark,ARF5
spark,IFITM1
spark,BRK1
spark,ELOVL5
spark,DHCR24
spark,MRFAP1
spark,LOR
spark,RPL10A
spark,ATOX1
spark,GSN
spark,SFN
spark,NDUFB8
spark,BZW1
spark,HSPB1
spark,NDUFB4
spark,POLR2L
spark,PSMD2
spark,OLFML3
spark,S100P
spark,MALAT1
spark,PPP1CA
spark,TMEM45A
spark,PHPT1
spark,SNX17
spark,HDGF
spark,EEF1G
spark,CCDC80
spark,CFL1
spark,CPSF1
spark,TAGLN2
spark,PGAM1
spark,SNHG7
spark,AURKAIP1
spark,CD59
spark,OGA
spark,DES
spark,AQP1
spark,CD74
spark,CALM2
spark,SELENOP
spark,RAB1B
spark,RPL8
spark,CLU
spark,ANXA1
spark,TOMM20
spark,GJA1
spark,CAPZB
spark,MDH2
spark,BAG6
spark,ACTG2
spark,ZFP36L2
spark,LAMTOR5
spark,NBL1
spark,HSPG2
spark,BTF3
spark,MRPS24
spark,GNG5
spark,TOMM6
spark,SCGB2A2
spark,NDUFS8
spark,EIF3H
spark,TXNIP
spark,NIBAN2
spark,RPS27
spark,RPS27A
spark,SNRNP200
spark,PNKD
spark,C9orf16
spark,CTNNBIP1
spark,PSMB4
spark,ZYX
