gene,gene_features,celltype_features,niche_features,total_selected
PCOLCE,"ADGRE5,ADH1B,ADIPOQ,AGR3,AKR1C1,AKR1C3,ANKRD28,ANKRD30A,APOBEC3A,APOBEC3B,BANK1,BASP1,BTNL9,C15orf48,C1QC,C5orf46,CCDC6,CCL20,CCL5,CCL8,CCND1,CCPG1,CCR7,CD14,CD1C,CD247,CD3D,CD79A,CD80,CD83,CD8A","DCIS_2,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor,Mast_Cells,CD4+_T_Cells,B_Cells,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_3,niche_4",44
S100A4,"ABCC11,ACTA2,ADGRE5,ADH1B,AGR3,AKR1C1,AKR1C3,ANKRD28,AQP1,BANK1,BTNL9,C5orf46,CCDC80,CD14,CD163,CD3E,CD80,CD86,CD8A,CD8B,CD93,CEACAM6,CEACAM8,CLCA2,CLDN5,CLECL1,CRISPLD2,CSF3,CTH,CTSG,DST","DCIS_2,Invasive_Tumor,Stromal,Myoepi_ACTA2+,Endothelial,Macrophages_2",niche_5,38
SMAP2,"ADGRE5,ADH1B,AHSP,AIF1,AKR1C3,ANKRD28,APOBEC3A,APOBEC3B,AQP1,AR,BACE2,C1QC,C2orf42,C5orf46,CAVIN2,CCDC6,CCDC80,CCL20,CCL8,CCR7,CD19,CD3D,CD4,CD69,CD79A,CD79B,CD80,DST","Macrophages_1,Stromal,DCIS_1,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_4,niche_5",40
FBLN1,"ACTA2,AR,AVPR1A,BANK1,C5orf46,CCL20,CCPG1,CD247,CD27,CDC42EP1,CRISPLD2,CTTN,CX3CR1,CXCR4,DNTTIP1,DUSP2,ELF3,FGL2,GLIPR1,IGF1,ITGAM,KIT,KLRB1,KRT5,LARS,MKI67,MMP1,MMRN2,MPO,QARS,RHOH,S100A14,SCD",Myoepi_KRT15+,"niche_3,niche_4,niche_5",37
POSTN,"ACTA2,ACTG2,ADAM9,ADGRE5,ADH1B,AIF1,ANKRD30A,APOC1,AQP1,BACE2,BASP1,BTNL9,C1QA,C1QC,CAV1,CCDC6,CCDC80,CCL5,CCND1,CCPG1,CD14,CD163,CD3E,CD4,CD68,CD8A,CD8B,DST",Stromal,niche_4,30
PRDM1,"AIF1,ANKRD29,CCDC80,CD80,CEACAM6,CTSG,CTTN,CX3CR1,CXCL12,CXCL5,CYTIP,DMKN,ERBB2,ERN1,ESM1,IL3RA,LUM,MMP2,MS4A1,MYLK,NCAM1,OPRPN,POSTN,REXO4,SCD,SFRP4,SLAMF1,TACSTD2,TENT5C,TIMP4,TOP2A,TPD52,USP53,VWF,ZNF562","DCIS_2,T_Cell_&_Tumor_Hybrid",,37
PECAM1,"ALDH1A3,ANKRD28,AQP1,C1QC,CAVIN2,CD19,CEACAM8,CLDN4,CSF3,CXCL5,DSC2,FLNB,KLRC1,LDHB,MRC1,MS4A1,NPM3,PTN,SDC4,TIGIT,TYROBP",,niche_2,22
THAP2,"ABCC11,ACTA2,ADAM9,ADGRE5,ADIPOQ,ANGPT2,ANKRD28,APOBEC3B,AR,BTNL9,C15orf48,C1QA,C2orf42,C6orf132,CAV1,CCL20,CCL5,CCND1,CCPG1,CD14,CD27,CD3D,CD3G,CD68,CD79A,CD79B","Macrophages_1,Myoepi_ACTA2+,CD8+_T_Cells,Prolif_Invasive_Tumor,LAMP3+_DCs,Myoepi_KRT15+",niche_2,33
MPO,,,,0
SMS,"ADAM9,ADGRE5,ADH1B,AGR3,AHSP,ANKRD29,ANKRD30A,APOBEC3B,APOC1,AVPR1A,BASP1,C5orf46,C6orf132,CCL20,CCL8,CCND1,CD1C,CD3D,CD3E,CD4,CD68,CD79A,CD83,CD86,CD8A,CD8B,CD93,CEACAM8,CENPF,CLDN4,CLEC9A,CLECL1","Unlabeled,DCIS_1,Myoepi_ACTA2+,Endothelial,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells","niche_4,niche_5",41
VWF,"ACTG2,AIF1,APOBEC3A,CCPG1,CD80,CLEC9A,CLECL1,CTH,CX3CR1,CXCL12,CXCR4,DMKN,DSP,DUSP2,EGFR,ELF3,ERBB2,FAM49A,FCER1A,GJB2,GLIPR1,GPR183,HMGA1,ITGAM,ITGAX,ITM2C,DST","Invasive_Tumor,Prolif_Invasive_Tumor,CD4+_T_Cells",,30
ADGRE5,"ACTA2,ACTG2,ADAM9,ADH1B,AGR3,AHSP,AKR1C3,ALDH1A3,ANKRD28,ANKRD30A,AQP1,AVPR1A,BANK1,BASP1,BTNL9,CAV1,CCL5,CCPG1,CD163,CD19,CD3D,CD3G,CD68,CD79A,CD83,CD86,CD8B,CD9,CD93,CDC42EP1,DST","Unlabeled,Macrophages_1,Myoepi_ACTA2+,Mast_Cells,CD4+_T_Cells,B_Cells,Macrophages_2,LAMP3+_DCs","niche_1,niche_2,niche_4,niche_5",43
WARS,"ACTA2,ADAM9,ADGRE5,ADIPOQ,AGR3,AHSP,AIF1,AKR1C1,ALDH1A3,ANKRD29,ANKRD30A,APOC1,AQP1,AQP3,AVPR1A,C15orf48,C1QA,C5orf46,CCL5,CCPG1,CCR7,CD14,CD80,CD86,CD8A,CD8B,CD93,CEACAM6,CENPF,CLDN5,CLEC14A,CPA3,CTH,CTLA4,DST","Stromal,CD8+_T_Cells,T_Cell_&_Tumor_Hybrid,Macrophages_2,Stromal_&_T_Cell_Hybrid,IRF7+_DCs","niche_2,niche_4,niche_5",44
ANKRD28,"ACTA2,ACTG2,ADAM9,ADH1B,ADIPOQ,AHSP,AKR1C1,AKR1C3,APOBEC3B,APOC1,AQP3,AVPR1A,BACE2,BANK1,BTNL9,C1QA,C5orf46,C6orf132,CAV1,CCDC6,CCDC80,CCL8,CCND1,CD163,DST","Unlabeled,Macrophages_1,DCIS_1,Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,Perivascular-Like,IRF7+_DCs","niche_1,niche_2,niche_3,niche_4,niche_5",37
LIF,,,,0
LGALSL,"ABCC11,ACTA2,ADIPOQ,AIF1,AKR1C1,AQP1,AR,BASP1,C1QA,C2orf42,CCL20,CCL5,CD27,CD274,CD3D,CD3E,CD3G,CD86,CD9,CDH1,CENPF,CLDN4,CLDN5,CRISPLD2,DST","Stromal,Myoepi_ACTA2+,Mast_Cells,Macrophages_2,IRF7+_DCs",niche_3,31
VOPP1,"ABCC11,ACTA2,ADAM9,ADGRE5,ADIPOQ,AKR1C3,APOC1,AQP3,C15orf48,CCDC6,CCL20,CCL5,CD19,CD1C,CD274,CD3E,CD69,CD80,CD86,CD8A,CD93,CDH1,CEACAM8,CENPF,CLDN4,CRHBP,CSF3","DCIS_2,Macrophages_1,Stromal,DCIS_1,CD8+_T_Cells,Endothelial,Prolif_Invasive_Tumor,CD4+_T_Cells,Perivascular-Like,LAMP3+_DCs","niche_1,niche_3,niche_4",40
CTTN,"ACTA2,AIF1,ALDH1A3,ANKRD29,APOBEC3B,AR,BACE2,BANK1,BTNL9,C5orf46,CCDC6,CCND1,CD19,CD27,CD274,CD3E,CD68,CD79A,CD8A,CD8B,CDH1,CEACAM6,CLDN4,CLECL1,CLIC6,CX3CR1,CXCR4,DAPK3,DERL3,DNAAF1,DNTTIP1,DSP,DUSP5,EGFL7,EIF4EBP1,ELF3,EPCAM,ERBB2,ESM1,FAM107B","DCIS_2,Invasive_Tumor,CD8+_T_Cells,Stromal_&_T_Cell_Hybrid,Perivascular-Like","niche_3,niche_5",47
BACE2,"AGR3,AHSP,APOBEC3A,AVPR1A,BANK1,BASP1,BTNL9,C2orf42,C5orf46,C6orf132,CAVIN2,CCL20,CCL5,CCND1,CD274,CD79B,CD80,CD83,CD8A,CD8B,CD9,CD93,CLDN4,CLIC6,CRISPLD2,CSF3,CTH,CTSG,DAPK3,DERL3,DMKN,DNAAF1,DSP,DUSP2,EIF4EBP1,ELF3,ELF5,DST","Unlabeled,Stromal,Myoepi_ACTA2+,CD8+_T_Cells,Prolif_Invasive_Tumor,Mast_Cells,IRF7+_DCs,Myoepi_KRT15+","niche_2,niche_3,niche_4",49
CLDN4,"ACTA2,ADIPOQ,AKR1C1,AKR1C3,ANKRD28,ANKRD29,APOC1,AQP1,AQP3,BACE2,BASP1,C1QC,C5orf46,C6orf132,CCDC6,CCL20,CCND1,CCPG1,CD14,CD3E,CD3G,CD4,DST","Unlabeled,Myoepi_ACTA2+,CD8+_T_Cells,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,Perivascular-Like,LAMP3+_DCs,Myoepi_KRT15+",niche_2,32
AIF1,"ACTG2,BACE2,C1QC,C5orf46,CCDC80,CCL5,CCND1,CD14,CD163,CD4,CD68,CD9,CXCL12,CXCR4,DPT,ERBB2,FASN,FCER1G,GATA3,GJB2,IL3RA,KRT7,LARS,LUM,LYZ,MMP2,MRC1,PDK4,PELI1,POLR2J3,POSTN,PTPRC,SELL,SFRP4,SH3YL1",LAMP3+_DCs,,36
SDC4,"ACTA2,ADAM9,ADGRE5,ADH1B,AGR3,AKR1C3,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,AQP1,AR,AVPR1A,BANK1,C1QC,C5orf46,C6orf132,CCL20,CCL5,CCL8,CCPG1,CD163,CD19,DST","Stromal,DCIS_1,CD8+_T_Cells,Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,IRF7+_DCs","niche_2,niche_4,niche_5",33
ANGPT2,,,,0
AVPR1A,,,,0
KRT7,"ACTA2,AKR1C1,AQP3,AVPR1A,BACE2,BANK1,C1QA,CCND1,CD80,CDH1,CEACAM6,CLCA2,CPA3,CRHBP,CTTN,DUSP2,EPCAM,ERBB2,FBLIM1,FCGR3A,GNLY,GPR183,GZMA,GZMB,HAVCR2,HOOK2,ITGAM,KLF5,KLRC1,KLRF1,KRT8,LARS,LILRA4,LTB,MMRN2,MUC6,MYBPC1,NARS,NDUFA4L2,PTRHD1,DST",,,41
PLD4,,,,0
PDK4,"ACTG2,ADIPOQ,AKR1C3,ANGPT2,ANKRD28,APOC1,AVPR1A,BASP1,BTNL9,C15orf48,C5orf46,CAV1,CCL20,CCND1,CCPG1,CD163,CD3G,CD69,CD79A,CLCA2,CLEC9A,CLIC6,CPA3,CSF3,CTLA4,CXCL5,CXCR4,DAPK3,DERL3,DNTTIP1,DSP,EGFL7,EIF4EBP1,ERN1,ESR1,FAM107B,FAM49A,FASN,FCER1G","Unlabeled,Macrophages_1,DCIS_1,Endothelial,Prolif_Invasive_Tumor,Mast_Cells,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+","niche_1,niche_3,niche_4",50
MYH11,"ACTA2,ACTG2,ALDH1A3,AQP1,AQP3,BANK1,BTNL9,C1QC,C2orf42,C5orf46,CAV1,CCDC80,CCL20,CCL8,CCND1,CD1C,CD247,CD274,CD3E,CD93,CDH1,CEACAM6,CLDN4,CLDN5,CLECL1,CPA3,CRISPLD2,CSF3,DAPK3,ELF5,ERBB2,ESM1,DST","Unlabeled,DCIS_1,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor",niche_1,39
ABCC11,"AGR3,ANGPT2,APOBEC3B,BASP1,C1QA,C2orf42,CD19,CD247,CD3E,CD68,CD80,CD86,CSF3,CTH,CYP1A1,DPT,DSC2,EPCAM,ERBB2,ESR1,FASN,FCER1G,GATA3,HOXD9,IGF1,ITM2C,KLF5,LAG3","DCIS_1,CD8+_T_Cells,LAMP3+_DCs",,31
NKG7,,,,0
KLRC1,,,,0
CTLA4,"ACTA2,ACTG2,ADAM9,AGR3,AHSP,AIF1,AKR1C3,ANGPT2,ANKRD28,APOBEC3A,AR,AVPR1A,BANK1,C5orf46,CAV1,CCND1,CD247,CD3G,CD4,CD86,CD8A,CDC42EP1,CEACAM6,CENPF,CLIC6,CRHBP,CTH,CTSG","Stromal,CD8+_T_Cells,T_Cell_&_Tumor_Hybrid,Mast_Cells,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+","niche_1,niche_4",36
ZEB1,"ABCC11,ACTG2,ADGRE5,ADH1B,ADIPOQ,AKR1C3,ANGPT2,ANKRD28,ANKRD30A,APOBEC3A,APOBEC3B,APOC1,AR,AVPR1A,BASP1,C15orf48,C2orf42,C5orf46,CCDC6,CCDC80,CCL5,CCND1,CD247,CD27,CD3E,CD79B,CD8A,CD8B,CD9,CDH1","DCIS_1,T_Cell_&_Tumor_Hybrid,Mast_Cells,Macrophages_2,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_3,niche_4,niche_5",40
MYBPC1,,,,0
CLEC9A,,,,0
GLIPR1,"ABCC11,ACTA2,ADAM9,AGR3,AHSP,AKR1C1,ALDH1A3,ANGPT2,ANKRD28,ANKRD29,AQP3,AVPR1A,BACE2,C15orf48,C1QA,C1QC,CAV1,CAVIN2,CCDC6,CCL5,CCPG1,CD14","Macrophages_1,CD8+_T_Cells,Endothelial,Mast_Cells,Stromal_&_T_Cell_Hybrid,Perivascular-Like,LAMP3+_DCs","niche_2,niche_3,niche_5",32
C15orf48,,,,0
AHSP,,,,0
KLF5,"ACTA2,ADAM9,ADGRE5,AGR3,AKR1C3,ALDH1A3,ANKRD30A,AR,BTNL9,CCL5,CCND1,CCR7,CD27,CD274,CD3G,CD68,CD79A,CD83,CD86,CD8B,CD9,CEACAM8,CENPF,CLIC6,CPA3,DMKN,DNTTIP1,EDN1,EPCAM,ERN1,FBLIM1,FBLN1,FLNB,FOXA1,FOXP3,GNLY,GZMB,HAVCR2","DCIS_2,Unlabeled,Invasive_Tumor,Stromal,DCIS_1,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Mast_Cells",,46
CLDN5,,,,0
ITGAM,"ABCC11,ACTA2,ADAM9,ADIPOQ,AGR3,AIF1,AKR1C1,ANKRD28,ANKRD29,APOBEC3A,AVPR1A,BASP1,BTNL9,C15orf48,C5orf46,CAV1,CCND1,CD14,CD163,CD247,CD3D,CD3E,CD83,CD93,CDC42EP1,CLCA2,CLDN5,CLECL1,CPA3,CTLA4,CX3CR1,DAPK3,DERL3,DMKN,DNTTIP1,DSC2,DST","Invasive_Tumor,Macrophages_1,Myoepi_ACTA2+,Mast_Cells,LAMP3+_DCs","niche_1,niche_3",44
SERHL2,"ACTG2,ADIPOQ,AIF1,ALDH1A3,ANGPT2,ANKRD28,ANKRD30A,APOBEC3A,AQP1,AQP3,AR,AVPR1A,BANK1,BTNL9,C2orf42,CCDC6,CCND1,CD19,CD1C,CD274,CD3G,CD68,CD69,CD80","Invasive_Tumor,Macrophages_1,Endothelial,Prolif_Invasive_Tumor,Mast_Cells,LAMP3+_DCs","niche_1,niche_4",32
GNLY,,,,0
CTH,,,,0
ESR1,"ADGRE5,ADH1B,ADIPOQ,AKR1C1,AKR1C3,ALDH1A3,ANKRD28,ANKRD29,APOBEC3A,AQP1,AVPR1A,C15orf48,C1QC,C2orf42,C6orf132,CAV1,CAVIN2,CCDC6,CCL20,CCL8,CD4,CD68,CD8A,CD9,CLEC9A,CTH,CTLA4,CTTN,CYTIP,DUSP2,EDNRB,EGFL7,EGFR,ELF3,EPCAM,ERBB2","Unlabeled,Invasive_Tumor,Macrophages_1,T_Cell_&_Tumor_Hybrid,Mast_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+",niche_3,45
MZB1,"ACTA2,ADIPOQ,AGR3,AQP1,BANK1,BASP1,C5orf46,C6orf132,CAV1,CAVIN2,CCDC6,CCDC80,CCND1,CCR7,CD68,CD79A,CD80,CD93,CEACAM6,CENPF,CRHBP,CRISPLD2,CTTN,CXCL16,CYP1A1,CYTIP,DAPK3,DNAAF1,EIF4EBP1,ELF3,ERBB2,ERN1,ESM1,FAM107B,FLNB,DST","DCIS_2,Invasive_Tumor,Endothelial,CD4+_T_Cells,Myoepi_KRT15+","niche_1,niche_3",43
OXTR,,,,0
LDHB,"ADGRE5,ADIPOQ,AGR3,AHSP,AKR1C3,ANGPT2,ANKRD28,ANKRD30A,AQP1,AVPR1A,BACE2,BASP1,C15orf48,C1QA,C1QC,C2orf42,CAV1,CCL20,CCL8,CD247,CD274,CD68,CD83,CD86,CD8A,DST","Unlabeled,CD8+_T_Cells,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+","niche_4,niche_5",34
TMEM147,"CCDC80,CD86,CLEC14A,CRISPLD2,CX3CR1,CXCL16,DERL3,KLF5,KLRC1,KRT6B,KRT7,MYLK,NARS,SCD,SERPINA3,SMS,TOMM7,TUBB2B",DCIS_1,,19
ITGAX,"ABCC11,AKR1C3,APOBEC3B,AQP1,AR,BANK1,BASP1,BTNL9,C2orf42,CAV1,CAVIN2,CCPG1,CD247,CD3D,CD4,CD68,CD79A,CD80,CD8B,CLCA2,CLEC9A,CPA3,CSF3,CTH,CXCL16,CXCL5,CXCR4,DERL3,DNAAF1,DPT,EGFL7,ELF5,ENAH,EPCAM,ERBB2,FBLIM1,FBLN1,FCER1G,FCGR3A","DCIS_2,Stromal,Endothelial,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs",niche_1,49
KRT8,"ABCC11,ADGRE5,ADIPOQ,AIF1,AKR1C3,ANKRD28,ANKRD29,APOBEC3A,APOBEC3B,AR,BACE2,BANK1,BTNL9,C1QA,C1QC,CCL20,CCL5,CCL8,CCND1,CD247,CD3D,CD3G,DST","Unlabeled,Invasive_Tumor,Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,Perivascular-Like,LAMP3+_DCs",niche_1,30
MLPH,"ACTA2,ADAM9,ADH1B,AGR3,AHSP,ALDH1A3,APOBEC3A,APOBEC3B,APOC1,BANK1,BASP1,BTNL9,C1QA,C2orf42,C6orf132,CCDC6,CCDC80,CCND1,CD163,CD19,CD3D,CD3G,CD4,CD68,CD69,CD80,DST","Macrophages_1,Myoepi_ACTA2+,CD8+_T_Cells,Mast_Cells,CD4+_T_Cells,B_Cells,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs",niche_2,36
EGFR,"ADAM9,ADH1B,ANGPT2,APOC1,C2orf42,CCDC6,CCL8,CCND1,CD163,CD68,CLEC9A,CTSG,CXCL16,DSP,EDNRB,EPCAM,FAM49A,FBLIM1,FCER1A,FOXP3,GZMB,HOXD9,IGSF6,IL2RG,KLRB1,KLRD1,KRT14,KRT6B","Macrophages_1,Endothelial,Perivascular-Like","niche_1,niche_5",33
TFAP2A,"AHSP,BASP1,C2orf42,CAV1,CCND1,CD247,CD3D,CD79A,CDC42EP1,CENPF,CLDN4,CLECL1,CTH,DPT,DSP,DUSP5,EGFL7,ELF3,ERBB2,FAM49A,FCGR3A,FGL2,FOXP3,HAVCR2,HPX,JUP,KARS,KDR,KLRD1,KRT16,LAG3,LTB,LYPD3,MLPH","Stromal,Myoepi_ACTA2+,Prolif_Invasive_Tumor",,37
CCL20,,,,0
IGSF6,"ADH1B,AKR1C3,ALDH1A3,APOBEC3B,AQP1,AVPR1A,C1QA,C6orf132,CCR7,CD14,CD27,CD79B,CD8B,CD93,CENPF,CLDN4,DMKN,DNAAF1,EGFL7,EPCAM,FBLN1,FCGR3A,GATA3,GJB2,GNLY,HAVCR2,HDC,HOOK2,JUP,KARS,KLRB1,KRT15,KRT6B,LILRA4,LPL,LPXN,LTB,LYZ","DCIS_2,Macrophages_1,Stromal","niche_1,niche_3,niche_4",44
SOX17,,,,0
CYP1A1,,,,0
KIT,,,,0
SSTR2,,,,0
MMP12,,,,0
CD86,"ADIPOQ,AGR3,AKR1C1,AKR1C3,ALDH1A3,ANGPT2,ANKRD30A,APOBEC3A,APOC1,BTNL9,C1QA,CAVIN2,CCL20,CD163,CD9,CLEC9A,CRHBP,CRISPLD2,DERL3,DUSP2","DCIS_2,B_Cells,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs",,25
TCF4,"ACTG2,AKR1C1,ANGPT2,AVPR1A,BANK1,BASP1,CD14,CD69,CD8A,EGFR,GNLY,HOOK2,LAG3,LPL,LYZ,NOSTRIN,OCIAD2,PCLAF,PLD4,PRDM1,RTKN2,S100A14,SCGB2A1,TFAP2A,TPSAB1,UCP1","Macrophages_2,IRF7+_DCs",,28
TRAPPC3,"ADAM9,ADGRE5,AHSP,AIF1,ALDH1A3,ANKRD30A,AQP3,BANK1,BASP1,C15orf48,C2orf42,CAV1,CCDC80,CCL20,CCL5,CD14,CD163,CD1C,CD274,CD3D,CD3G,CD79A,CD83,CD86,CD8B","Unlabeled,Stromal,DCIS_1,Endothelial,Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,Perivascular-Like,Myoepi_KRT15+","niche_1,niche_2,niche_4,niche_5",37
CD19,,,,0
ENAH,"ACTG2,ADAM9,ADGRE5,AHSP,AIF1,AKR1C1,ALDH1A3,ANKRD29,ANKRD30A,APOBEC3B,AQP3,AVPR1A,BASP1,BTNL9,C15orf48,CAV1,CAVIN2,CCDC6,CCPG1,CCR7,CD163,CD19,CD3E,CD79B,CD86,CD93,CENPF,CLCA2,CLEC14A,DST","DCIS_2,Unlabeled,DCIS_1,CD8+_T_Cells,T_Cell_&_Tumor_Hybrid,Mast_Cells",niche_1,37
JUP,"ALDH1A3,ANKRD30A,AQP1,BANK1,C15orf48,CD3D,CD79A,CLEC9A,DNTTIP1,DSP,ELF5,FBLIM1,FCER1A,FOXP3,GLIPR1,HAVCR2,ITGAM,KARS,LDHB,LIF,LUM,MRC1,MUC6,NDUFA4L2,OCIAD2,PCLAF,PIGR,POLR2J3,POSTN,PPARG,REXO4","DCIS_2,DCIS_1,Mast_Cells,B_Cells",niche_4,36
PDE4A,"ADH1B,AHSP,AKR1C1,AKR1C3,ANKRD28,ANKRD29,APOC1,C6orf132,CCR7,CD163,CD19,CD247,CD3E,CD79B,CD9,CDH1,CEACAM6,CLDN4,CLDN5,CLECL1,CLIC6,CPA3,CTTN,DNAAF1,DNTTIP1,DPT,DUSP5,EGFR,FAM49A,DST",Stromal,niche_4,32
TRAC,"ADH1B,ANKRD29,CD79B,CD8B,CRISPLD2,DUSP2,EDNRB,FCER1A,FGL2,HOXD8,LYPD3,MPO,MYLK,NDUFA4L2,NOSTRIN,OPRPN,PLD4,PTGDS,RHOH,SQLE",IRF7+_DCs,niche_3,22
LRRC15,"ACTG2,ADAM9,ADGRE5,ADIPOQ,ANKRD29,APOBEC3A,APOBEC3B,AQP3,AR,AVPR1A,BACE2,C15orf48,C2orf42,C6orf132,CAV1,CCL8,CCND1,CCPG1,CD14,CD1C,CD247,CD3E,CD3G,CD4,CD68,CD79A,CD79B,CD80,CD86,CD8B,CD9,CEACAM8,CLECL1,CPA3,CRISPLD2,CSF3,CTSG,CYP1A1,CYTIP,DST","Unlabeled,Invasive_Tumor,Macrophages_1,Endothelial,CD4+_T_Cells,B_Cells",,46
TPD52,"ABCC11,ACTA2,ACTG2,ADGRE5,AKR1C1,ALDH1A3,ANKRD28,APOBEC3A,AR,AVPR1A,BACE2,BANK1,C15orf48,C1QA,C1QC,C2orf42,CCDC80,CCL20,CCL5,CCND1,CD163","Macrophages_1,Stromal,Prolif_Invasive_Tumor,Stromal_&_T_Cell_Hybrid,Perivascular-Like,IRF7+_DCs,Myoepi_KRT15+","niche_1,niche_3,niche_5",31
AGR3,"ABCC11,ALDH1A3,APOBEC3B,BACE2,BTNL9,C15orf48,C2orf42,CCDC6,CCND1,CCPG1,CD274,CD3G,CD69,CD86,CD9,CDH1,CEACAM6,CLIC6,CRHBP,CRISPLD2,CYP1A1,DERL3,DNAAF1,EDN1,EIF4EBP1,ELF5,ENAH,ERBB2,FCER1A,FCGR3A,FGL2,FOXP3,FSTL3,GNLY,GZMA,GZMB","Invasive_Tumor,LAMP3+_DCs",niche_5,39
PGR,,,,0
TCL1A,,,,0
SLC25A37,"ABCC11,ACTG2,ADAM9,ADH1B,ANGPT2,ANKRD29,ANKRD30A,APOBEC3A,APOBEC3B,BANK1,BASP1,C15orf48,C6orf132,CAVIN2,CCL20,CCPG1,CD14,CD247,CD27,CD68,CD83,CD86,CD8A,CEACAM6,CENPF,CLDN5,CRHBP","Invasive_Tumor,Macrophages_1,CD8+_T_Cells,T_Cell_&_Tumor_Hybrid,Mast_Cells,Perivascular-Like,Myoepi_KRT15+",niche_4,35
CXCL5,,,,0
SERPINA3,"ABCC11,AGR3,APOBEC3A,APOC1,C1QA,CCPG1,CD1C,CD247,CD79A,CDH1,CPA3,CXCR4,DUSP2,EGFR,ERBB2,FSTL3,GATA3,GNLY,GPR183,IL2RA,KLRF1,LILRA4,LPL,LY86,RAPGEF3,SCD,SERHL2,SH3YL1,SPIB,TIGIT,WARS,ZEB1,ZNF562","Stromal,DCIS_1,CD8+_T_Cells,T_Cell_&_Tumor_Hybrid",,37
CD8A,"ABCC11,ALDH1A3,ANKRD28,APOC1,C1QA,C6orf132,CCDC80,CCL20,CCL5,CCND1,CCPG1,CD3E,CD68,CD79A,CD8B,CRISPLD2,CTLA4,CXCL12,CXCL16,CXCR4,CYP1A1,DNAAF1,DUSP2,EGFR,ERBB2,FOXC2,FSTL3,GZMA,GZMK,HAVCR2,IL7R,KDR,KLRF1,KRT5","Endothelial,Myoepi_KRT15+",niche_4,37
HPX,,,,0
