gene,gene_features,celltype_features,niche_features,total_selected
TOMM7,"ADIPOQ,AGR3,AKR1C3,ALDH1A3,APOBEC3A,AR,AVPR1A,BACE2,CCL8,CD14,CD3E,CD8A,CD8B,CEACAM6,CTH,CTLA4,CXCL16,ELF5,ENAH,ERBB2","CD8+_T_Cells,CD4+_T_Cells,B_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid","niche_2,niche_4",27
SOX18,,,,0
CCDC80,"ACTA2,ADGRE5,ADH1B,AIF1,AKR1C1,ANKRD30A,BACE2,BASP1,C1QA,C1QC,C2orf42,C5orf46,CAVIN2,CCL8,CD1C,CD247,CD3G,CD86,CDH1,CLDN4,CRISPLD2,CTLA4,CTTN,CXCL12,CXCL16,CYTIP,DPT,DSP,DUSP5,EPCAM,ERBB2,FBLN1,FCER1G,FOXC2,GLIPR1,GPR183,GZMB",CD8+_T_Cells,"niche_2,niche_3",40
CD80,,,,0
APOC1,"ACTA2,ADAM9,ADIPOQ,AIF1,APOBEC3B,AR,AVPR1A,BANK1,C1QC,C6orf132,CCDC6,CCND1,CD19,CD1C,CD27,CD4,CD79B,CD83,CD8A,CD9,CD93,CLEC9A,CRISPLD2,CSF3,CTTN,CXCR4,DAPK3,DSP,DST","DCIS_2,Invasive_Tumor,Macrophages_1,Prolif_Invasive_Tumor,LAMP3+_DCs","niche_1,niche_3",36
SLC4A1,,,,0
MUC6,,,,0
TUBA4A,"ABCC11,ADAM9,ADIPOQ,AHSP,ANKRD28,ANKRD29,APOC1,C15orf48,C1QA,C2orf42,CCDC80,CCL5,CCR7,CD1C,CD27,CD274,CD68,CD79A,CD79B,CD86,CD8A,CD93,CEACAM8,CENPF,CLEC9A,CLIC6,CTLA4,CTSG,CTTN,DMKN,DNAAF1","DCIS_2,Unlabeled,DCIS_1,Myoepi_ACTA2+,Prolif_Invasive_Tumor,Mast_Cells,CD4+_T_Cells,B_Cells,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs","niche_2,niche_4",43
PDCD1LG2,,,,0
NDUFA4L2,,,,0
LPL,"ABCC11,ACTG2,ADGRE5,ADH1B,AKR1C3,ANKRD28,ANKRD29,APOBEC3A,APOBEC3B,AQP1,AQP3,AR,AVPR1A,BANK1,C1QA,C1QC,C5orf46,C6orf132,CAV1,CCDC80,CCL20,CCL8,CD14,CD19,CD1C,CD274,CD3E,CD68,CD69,CD80,DST","DCIS_2,Unlabeled,Macrophages_1,DCIS_1,Mast_Cells,CD4+_T_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs","niche_4,niche_5",43
SEC24A,"ADH1B,ADIPOQ,AGR3,AHSP,AIF1,ANGPT2,ANKRD28,ANKRD30A,AR,C15orf48,C1QA,C2orf42,C6orf132,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CCR7,CD163,CD27,CD3D,CD3E,CD68,CD8A,CD9,CENPF,CLDN4,CLIC6,CPA3,CRISPLD2,CTLA4,CTTN,CXCL16,CXCR4,CYP1A1,DST","DCIS_2,Unlabeled,Stromal,CD8+_T_Cells,Mast_Cells,B_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_4",50
MS4A1,"ADAM9,ADGRE5,AIF1,AKR1C1,AKR1C3,ANGPT2,ANKRD29,APOBEC3B,AQP1,AR,BACE2,BANK1,C2orf42,CAVIN2,CCDC80,CCL5,CCL8,CCPG1,CCR7,CD163,CD19,CD274,CD3D,CD4,CD80,CD83,CDH1,CLCA2,CLDN5,CLEC14A,CLECL1,CSF3","DCIS_2,Unlabeled,Stromal,CD8+_T_Cells,Endothelial,Prolif_Invasive_Tumor,Mast_Cells,Stromal_&_T_Cell_Hybrid,IRF7+_DCs","niche_3,niche_4",43
FASN,"ACTG2,ADAM9,ADIPOQ,AIF1,AKR1C1,ANGPT2,ANKRD28,APOBEC3A,APOBEC3B,APOC1,AQP3,AR,AVPR1A,C15orf48,C1QA,C2orf42,CAVIN2,CCDC80,CCL20,CCL5,CCND1,CD19,CD1C,CD274,CD4,CD68","Unlabeled,Invasive_Tumor,CD8+_T_Cells,Mast_Cells,CD4+_T_Cells,B_Cells,Stromal_&_T_Cell_Hybrid",niche_2,34
RAB30,"ADIPOQ,AHSP,AKR1C1,ANKRD28,ANKRD30A,BACE2,C1QA,C1QC,CCL20,CCL8,CD14,CD19,CD1C,CD79B,CD8B,CENPF,CTLA4,CTTN,CX3CR1,CXCL12,CXCL5,DAPK3,DERL3,DSP,ESR1,FAM107B,GNLY,GPR183,GZMK,IL3RA,ITGAM,ITGAX,KLRC1,KRT23,KRT5,KRT6B,KRT7","Endothelial,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,LAMP3+_DCs",,41
SVIL,"ADGRE5,ADH1B,AHSP,AKR1C3,ALDH1A3,ANGPT2,ANKRD30A,APOBEC3B,AQP1,BACE2,C15orf48,C1QA,C2orf42,C6orf132,CAVIN2,CCL20,CCL5,CCL8,CCPG1,CCR7","Invasive_Tumor,Macrophages_1,Stromal,CD8+_T_Cells,Endothelial,Prolif_Invasive_Tumor,LAMP3+_DCs,Myoepi_KRT15+",niche_2,29
PPARG,"ACTA2,ADH1B,AIF1,AKR1C3,ALDH1A3,APOBEC3A,APOC1,AQP3,BANK1,C1QA,C2orf42,CAV1,CCDC6,CCPG1,CD274,CD69,CD8B,CDH1,CENPF,CPA3,CRISPLD2,CXCL16,DERL3,DNAAF1","Stromal,DCIS_1,Mast_Cells,B_Cells,Perivascular-Like","niche_1,niche_2,niche_5",32
MNDA,"ABCC11,ACTG2,ADGRE5,ADH1B,ADIPOQ,ALDH1A3,ANKRD30A,APOBEC3A,BANK1,BTNL9,C1QC,CAV1,CCL5,CCND1,CCR7,CD163,CD86,CDC42EP1,CDH1,CLDN5,CLEC9A,CLECL1,CRISPLD2,CXCL12,CYTIP,DERL3,DNTTIP1,DSP,EGFL7,ENAH,ESR1,FCGR3A,DST","Unlabeled,Stromal,Myoepi_ACTA2+,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs",,40
ALDH1A3,"ABCC11,ADGRE5,AHSP,ANGPT2,ANKRD28,ANKRD29,APOC1,AQP3,BANK1,C1QA,CCDC6,CCDC80,CCL8,CCND1,CCPG1,CD14,CD163,CD1C,CD247,CD68,CD80,CD8B,CD93,CDC42EP1,CEACAM8,CENPF,CLCA2,CLEC9A,CPA3,CTH,CTTN,CX3CR1,DST","Invasive_Tumor,DCIS_1,CD8+_T_Cells,Endothelial,Stromal_&_T_Cell_Hybrid,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+",niche_1,42
STC1,,,,0
DPT,"ACTA2,ACTG2,ADAM9,ADH1B,ADIPOQ,AGR3,AKR1C1,AKR1C3,ANGPT2,ANKRD29,ANKRD30A,APOBEC3B,AQP3,BASP1,C1QA,C1QC,C5orf46,CAV1,CAVIN2,CCDC6,CCL20,DST","DCIS_2,Macrophages_1,DCIS_1,Myoepi_ACTA2+,Endothelial,Prolif_Invasive_Tumor,Mast_Cells,IRF7+_DCs","niche_4,niche_5",32
CD27,"ABCC11,ACTG2,ADAM9,ADH1B,AGR3,AKR1C1,ANGPT2,ANKRD28,ANKRD30A,APOBEC3A,APOBEC3B,C1QA,C2orf42,C6orf132,CCDC80,CCL20,CCL8,CCR7,CD19,CD247,CD79A,CD83,CD8A,CD9,CD93,CEACAM8,CLIC6,CSF3,CTLA4,CTSG,CXCR4,CYTIP,DNAAF1,DNTTIP1,DUSP2","Unlabeled,Invasive_Tumor,Macrophages_1,Stromal,DCIS_1,Myoepi_ACTA2+,CD8+_T_Cells,B_Cells,Macrophages_2",niche_1,45
FCER1A,,,,0
CPA3,,,,0
UCP1,,,,0
CD3G,"ABCC11,ACTG2,ANGPT2,BACE2,CD14,CD3D,CD4,CD83,CD8A,CLDN5,CLEC9A,CXCL16,CXCR4,CYTIP,EDNRB,EGFL7,ELF5,FOXA1,GPR183,HOOK2,IGSF6,IL3RA,ITGAM","DCIS_2,Perivascular-Like,IRF7+_DCs",,26
PTPRC,"ACTG2,ADAM9,ADIPOQ,ANKRD29,APOBEC3B,AVPR1A,BASP1,BTNL9,C1QA,CAV1,CCL8,CCPG1,CD163,CD1C,CD247,CD274,CD3D,CD4,CD69,CD79A,CD79B,CD86,CD8A,CDC42EP1,CDH1,CEACAM6,CEACAM8,CLEC14A,CLECL1,CRHBP,CRISPLD2,CSF3,CXCL12,CXCL5,DAPK3,DST","Unlabeled,Stromal,Myoepi_ACTA2+,CD8+_T_Cells,Perivascular-Like,IRF7+_DCs",niche_4,43
OCIAD2,"ACTA2,ACTG2,ADGRE5,ADH1B,ANKRD30A,APOBEC3A,AQP3,BASP1,CAV1,CCND1,CD3D,CD83,CD8B,CDH1,CEACAM6,CLEC9A,CXCL12,DERL3,EPCAM,ERBB2,FCER1A,FCER1G,FCGR3A,FOXC2,FSTL3,IGF1,IGSF6,KRT23","Stromal,Prolif_Invasive_Tumor","niche_3,niche_4",32
ADAM9,"ABCC11,ACTG2,ADGRE5,AGR3,AHSP,ALDH1A3,ANKRD28,ANKRD29,APOBEC3A,AQP3,AR,BANK1,BASP1,C1QC,C6orf132,CCND1,CCPG1,CCR7,CD19,CD3D,CD3E","DCIS_2,Invasive_Tumor,Macrophages_1,Stromal,DCIS_1,Myoepi_ACTA2+,Prolif_Invasive_Tumor,B_Cells,LAMP3+_DCs,IRF7+_DCs","niche_1,niche_3,niche_4",34
PCLAF,"ADIPOQ,AGR3,AHSP,AIF1,APOC1,AR,BACE2,BASP1,BTNL9,C2orf42,CCL8,CCND1,CD19,CD247,CD3D,CD3E,CD69,CEACAM6,CENPF,CLEC9A,CLECL1,CTSG,DERL3,DMKN,DSC2,DUSP5","Prolif_Invasive_Tumor,LAMP3+_DCs","niche_2,niche_3",30
CD79A,,,,0
NCAM1,,,,0
TIMP4,,,,0
PRF1,,,,0
CLCA2,,,,0
SCGB2A1,,,,0
RUNX1,"ACTA2,ADGRE5,AGR3,AHSP,AIF1,AKR1C1,AKR1C3,ALDH1A3,AQP3,AR,C15orf48,C1QC,C5orf46,CCL8,CCR7,CD163,CD19,CD1C,CD247,CD68,CD79A,CD80,CD9,CD93,CDH1,CEACAM6,CENPF,CLCA2,CLDN4,CLIC6,CTLA4,CX3CR1,CXCL16,DST","DCIS_2,DCIS_1,Endothelial,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Stromal_&_T_Cell_Hybrid,Myoepi_KRT15+","niche_2,niche_3",43
MMP1,,,,0
CX3CR1,,,,0
C1QA,"ACTA2,ACTG2,AIF1,ANKRD30A,C1QC,C2orf42,CAV1,CAVIN2,CCDC6,CCL20,CCND1,CD14,CD163,CD274,CD4,CD68,CD9,CD93,CDC42EP1,CEACAM6,CEACAM8","Unlabeled,Prolif_Invasive_Tumor,IRF7+_DCs",niche_5,25
ACTG2,"ACTA2,AHSP,AIF1,CAV1,CCDC80,CCL5,CCND1,CD163,CD274,CD86,CEACAM6,CENPF,CLEC14A,CLEC9A,CTSG,CTTN,CX3CR1,CYTIP,DAPK3,DPT,DUSP2,EDN1,ELF3,ERBB2,ERN1,ESM1,FAM107B,FAM49A,FCER1A,FSTL3,GJB2,GNLY,GZMA,HPX,IGF1,IL7R,ITM2C,JUP,KARS,KDR","Invasive_Tumor,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,LAMP3+_DCs","niche_1,niche_2,niche_3,niche_4",48
CD9,"ACTA2,ADGRE5,AHSP,AKR1C3,ALDH1A3,ANGPT2,ANKRD30A,AVPR1A,BACE2,C1QA,C1QC,C6orf132,CAVIN2,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CD19,CD3G,CD80,CD83,DST","Unlabeled,DCIS_1,Myoepi_ACTA2+,CD8+_T_Cells,Endothelial,Prolif_Invasive_Tumor,B_Cells",niche_3,32
RORC,,,,0
CRHBP,,,,0
FCER1G,"CAV1,CCL8,CD9,CDC42EP1,CEACAM6,CLEC14A,FASN,FBLIM1,FLNB,GATA3,HPX,LAG3,LPL,LRRC15,MLPH,MYO5B,PDCD1LG2,PGR,QARS,SEC24A,SLAMF1,SMS,TAC1","DCIS_2,CD4+_T_Cells,LAMP3+_DCs",,26
NOSTRIN,"ADGRE5,ADIPOQ,AHSP,AIF1,AKR1C1,AKR1C3,ANGPT2,ANKRD28,ANKRD30A,APOBEC3B,APOC1,AR,BASP1,BTNL9,C1QA,C1QC,C5orf46,CAV1,CCL20,CCL8,CCND1,CCPG1,CD1C,CD247,CD27,CD3G,CD79B,CD80,CEACAM6,CENPF,CLDN5,CLEC14A,CLECL1,CLIC6","DCIS_2,Unlabeled,Macrophages_1,Myoepi_ACTA2+,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Mast_Cells,Perivascular-Like,LAMP3+_DCs,Myoepi_KRT15+","niche_1,niche_2",46
SNAI1,,,,0
CCL8,,,,0
ITM2C,"AGR3,AIF1,ANKRD29,APOBEC3A,CCPG1,CD3E,CD8A,CLEC14A,CYP1A1,EDNRB,ESM1,GLIPR1,KLRC1,KRT5,KRT7,LGALSL,LUM,MMP2,NCAM1,NPM3,PDE4A,PDK4,PLD4,PPARG,S100A4",DCIS_1,,26
APOBEC3B,"ACTA2,ADGRE5,AIF1,AKR1C1,ANKRD30A,AQP1,AQP3,AR,BACE2,BANK1,C1QC,C5orf46,CAVIN2,CCDC80,CCL8,CD247,CD27,CD274,CD3D,CD3E,CD4,CD68,CD69,CD83,CD86,DST","DCIS_2,Myoepi_ACTA2+,CD8+_T_Cells,Mast_Cells,Macrophages_2,Myoepi_KRT15+",niche_2,33
GZMA,"ABCC11,ADH1B,ANKRD28,APOBEC3A,AQP1,AQP3,C15orf48,C1QC,C2orf42,C5orf46,CCR7,CD3D,CD68,CD80,CD83,CD93,CENPF,CLDN5,CLEC14A,CLECL1,CLIC6,CXCL5,CYTIP,DMKN,DNTTIP1,DSP,EPCAM,FASN,FBLN1,FOXP3,GATA3,DST","Macrophages_1,Myoepi_ACTA2+,LAMP3+_DCs,Myoepi_KRT15+",,36
KRT23,,,,0
TCEAL7,,,,0
PDGFRB,"ACTA2,ACTG2,ADAM9,AHSP,AIF1,AKR1C1,ALDH1A3,ANKRD29,APOBEC3B,AQP3,AVPR1A,BACE2,BANK1,C5orf46,C6orf132,CAV1,CCDC6,CCPG1,CD163,CD274,CD3G,CD4,CD68,CD69","Endothelial,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,Perivascular-Like,IRF7+_DCs,Myoepi_KRT15+","niche_3,niche_4,niche_5",34
LPXN,"ADIPOQ,CCL20,CD247,CD86,CSF3,CXCL12,DAPK3,DMKN,EDN1,ELF3,FOXA1,FOXP3,GZMA,HDC,KARS,KLRF1,LARS,LIF,LPL,MMP12,MYLK,NARS,PDCD1,POSTN,THAP2,TIGIT,USP53",IRF7+_DCs,niche_2,29
RAPGEF3,,,,0
RTKN2,"ABCC11,ACTA2,ADGRE5,ADH1B,AGR3,AKR1C3,ANGPT2,ANKRD28,ANKRD30A,AR,C1QC,C6orf132,CAVIN2,CCDC80,CCL5,CCL8,CCPG1,CD1C,CD247,CD3E,CD3G,CD4,CD79B,CD86,CD9,CDC42EP1,CLEC14A,CLEC9A,CLECL1,CPA3,CRHBP,CRISPLD2,CSF3,CTLA4,CTTN,CX3CR1,CYP1A1,DMKN,DNAAF1,DPT","Unlabeled,Endothelial,Perivascular-Like,LAMP3+_DCs","niche_2,niche_3,niche_5",47
SLAMF7,"ACTG2,ADH1B,AHSP,AKR1C3,AQP1,BANK1,C2orf42,CAVIN2,CCL20,CCL8,CD163,CD19,CD4,CD83,CDC42EP1,CLDN4,CLDN5,CLEC14A,CLEC9A,CSF3,CX3CR1,CXCL16,CXCL5,DAPK3,DSC2,EDN1,EGFL7,ELF5","DCIS_1,Endothelial,Macrophages_2,IRF7+_DCs",niche_4,33
TACSTD2,"ADAM9,ADH1B,ADIPOQ,AHSP,ALDH1A3,ANKRD28,APOBEC3A,APOBEC3B,APOC1,AQP1,AR,AVPR1A,BACE2,BASP1,C2orf42,CAVIN2,CCL20,CCND1,CD14,CD274,CD3E,CD8B,CDH1,CEACAM6,CEACAM8,CLDN5,CLECL1,CPA3,CSF3,CTH,CTLA4,CXCL5,CXCR4,DNAAF1","Stromal,Mast_Cells,Macrophages_2,Stromal_&_T_Cell_Hybrid,Perivascular-Like,IRF7+_DCs","niche_1,niche_3,niche_4",43
KRT15,"ADGRE5,ADH1B,AGR3,AKR1C1,APOC1,AQP1,BASP1,C2orf42,CCL5,CCL8,CCND1,CCPG1,CCR7,CD163,CD1C,CD247,CD3E,CD3G,CD69,CD79A,CD80,CD8B,CDC42EP1,CEACAM6,CLDN4,CPA3,CTLA4,CTTN,CXCL16,DUSP2","DCIS_2,Invasive_Tumor,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,IRF7+_DCs",,35
CXCL16,"ADAM9,AHSP,AKR1C1,CCDC80,CCL20,CCL5,CD19,CD3G,CD68,CD80,CD9,CPA3,CTLA4,CTSG,CTTN,CXCL12,DMKN,EGFL7,EPCAM,ERBB2,ERN1,FBLIM1","Unlabeled,Myoepi_ACTA2+",,24
NPM3,,,,0
EDNRB,"ACTA2,ADGRE5,ALDH1A3,ANKRD28,ANKRD30A,APOBEC3A,AQP1,AQP3,AR,AVPR1A,BACE2,C1QC,C2orf42,CAV1,CCDC6,CCDC80,CCL5,CCL8,CCND1,CCPG1,CCR7,CD163,CD3D,CD3E,CD4,CEACAM6,DST","Invasive_Tumor,DCIS_1,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,CD4+_T_Cells,LAMP3+_DCs","niche_2,niche_4",35
TPSAB1,,,,0
CSF3,,,,0
LYPD3,"ABCC11,ACTA2,ACTG2,ADAM9,ADH1B,AKR1C3,ANKRD29,AR,BASP1,BTNL9,C1QA,C1QC,C5orf46,CCL5,CCL8,CCND1,CD163,CD19,CD247,CD3G,CD68,CD79B,CD80,CD93,CDH1","Unlabeled,Macrophages_1,Stromal,DCIS_1,T_Cell_&_Tumor_Hybrid,Perivascular-Like","niche_3,niche_4,niche_5",34
EPCAM,"ANKRD28,ANKRD29,APOBEC3A,AQP1,C6orf132,CCL20,CCND1,CD3G,CD68,CD79B,CD80,CD86,CD9,CEACAM6,CEACAM8,CLCA2,CLEC9A,CPA3,CRISPLD2,CTLA4,CTTN,CXCL5,CXCR4,EDN1,ELF3,ERBB2,ERN1,ESR1,FAM107B","Unlabeled,Invasive_Tumor,Myoepi_ACTA2+,CD8+_T_Cells,CD4+_T_Cells","niche_3,niche_5",36
PTGDS,"ACTG2,ADH1B,ANKRD30A,C1QA,CCDC80,CCPG1,CD3E,CD4,CD68,CEACAM6,CENPF,CLCA2,CRISPLD2,CTLA4,CXCL12,CXCR4,DAPK3,ERBB2,FASN,FBLN1,FLNB,FOXP3,GNLY,GPR183,HMGA1,ITM2C,KLF5,KLRB1","Invasive_Tumor,T_Cell_&_Tumor_Hybrid,Myoepi_KRT15+",,31
CEACAM6,"ABCC11,ACTA2,AGR3,AKR1C3,ANKRD28,ANKRD30A,CCND1,CCPG1,CD19,CD3E,CD9,CDH1,CLDN4,CLEC14A,CRHBP,CTTN,CX3CR1,DSP,ELF3,ENAH,EPCAM,ERBB2,FOXA1,GATA3,GJB2,GNLY,GZMB,HOXD9,IGF1,ITGAX,JUP,KARS,KRT5,DST",IRF7+_DCs,"niche_2,niche_4,niche_5",38
AR,"ANGPT2,ANKRD29,ANKRD30A,APOC1,C15orf48,CCL8,CDH1,CEACAM6,CRHBP,CTH,CTTN,CX3CR1,CXCL16,DUSP2,EDNRB,EPCAM,ERBB2,FCER1G,FCGR3A,FOXA1,GATA3,GPR183,GZMB,HOOK2,HOXD8,IL7R,KIT,KLRD1,DST","Macrophages_1,Stromal,Prolif_Invasive_Tumor,Mast_Cells,B_Cells,IRF7+_DCs",,35
PTN,"ADAM9,ADH1B,AIF1,ANGPT2,ANKRD29,APOBEC3A,AQP1,AR,BASP1,C1QC,C6orf132,CAVIN2,CCDC6,CCDC80,CCND1,CCR7,CD163,CD1C,CD247,CD274,CD4,CD79B,CD80,CD9,CDH1,CEACAM6,CLCA2,CLEC14A,CTSG,DST","Unlabeled,Invasive_Tumor,Prolif_Invasive_Tumor,T_Cell_&_Tumor_Hybrid,B_Cells,Myoepi_KRT15+",niche_1,37
S100A8,,,,0
AKR1C1,"ACTA2,ADAM9,AGR3,AHSP,ALDH1A3,ANGPT2,APOC1,AQP1,AVPR1A,BACE2,BANK1,BASP1,C1QC,CAV1,CAVIN2,CCR7,CD163,CD27,CD274,CD3D,CD69,CD83,CD86,CD8A,CDH1,CEACAM6,CLCA2,CLDN4,CRISPLD2,CSF3,CTSG,CTTN,CX3CR1,CXCR4,DAPK3,DNTTIP1,DPT,DSC2,DST","DCIS_2,CD8+_T_Cells,Endothelial,T_Cell_&_Tumor_Hybrid,Macrophages_2,Stromal_&_T_Cell_Hybrid,Perivascular-Like","niche_1,niche_2,niche_5",49
PELI1,"ADAM9,ADGRE5,ADH1B,ADIPOQ,AHSP,AIF1,ANGPT2,ANKRD28,ANKRD29,APOBEC3B,AR,AVPR1A,BTNL9,C15orf48,C1QA,C6orf132,CAV1,CCDC6,CCL20,CCL5,CCND1,CCPG1,CCR7,CD14","DCIS_2,Myoepi_ACTA2+,CD8+_T_Cells,Mast_Cells,CD4+_T_Cells,Macrophages_2,Perivascular-Like,LAMP3+_DCs,IRF7+_DCs,Myoepi_KRT15+","niche_2,niche_3,niche_4",37
CEACAM8,,,,0
SQLE,"ACTG2,ANGPT2,AQP1,C1QC,CAVIN2,CCDC6,CCND1,CCPG1,CD1C,CD3G,CD4,CD68,CD79A,CD93,CDH1,CEACAM6,CENPF,CLEC9A,CTSG,CXCL16,EDN1,EGFL7,EGFR,ERBB2,FOXA1,FOXC2,GZMK,IL7R,ITGAX","Invasive_Tumor,Prolif_Invasive_Tumor","niche_1,niche_2,niche_3",34
SLAMF1,"ACTA2,ADH1B,AIF1,APOC1,AQP1,AVPR1A,C6orf132,CAVIN2,CCND1,CCPG1,CD3D,CD3E,CD3G,CEACAM6,CLECL1,CRISPLD2,CYTIP,EDN1,EGFR,ELF3,ENAH,ERBB2,FAM107B,FBLIM1,FOXA1,FSTL3,GATA3","DCIS_2,Macrophages_1,CD4+_T_Cells,Stromal_&_T_Cell_Hybrid,Perivascular-Like,LAMP3+_DCs","niche_1,niche_3",35
KRT14,"ABCC11,AKR1C3,KRT16,AQP1,AR,AVPR1A,BACE2,BANK1,C2orf42,C5orf46,CCL20,CCL8,CD163,CD3D,CD3G,CD80,CD83,CD8B,CDC42EP1,CEACAM8,CLEC14A,CLECL1,CRISPLD2,CXCL16,CYP1A1,CYTIP,DNAAF1,ENAH,ESM1","Stromal,Invasive_Tumor,CD4+_T_Cells","niche_3,niche_5",34
FCGR3A,"AKR1C3,ALDH1A3,ANGPT2,ANKRD30A,APOBEC3B,APOC1,BACE2,C5orf46,C6orf132,CCDC6,CCR7,CD3D,CD4,CD8A,CD9,CEACAM8,CLDN4,CLEC14A,CPA3,CTLA4","DCIS_2,Unlabeled,Stromal,Prolif_Invasive_Tumor,CD4+_T_Cells,B_Cells,Stromal_&_T_Cell_Hybrid","niche_3,niche_4,niche_5",30
FOXA1,"ADIPOQ,AHSP,ANGPT2,ANKRD30A,APOBEC3B,AQP3,BACE2,C2orf42,CAV1,CAVIN2,CCDC6,CCDC80,CCL5,CCPG1,CCR7,CD14,CD247,CD4,CD69,CD79A,CD79B,CLDN4,CLDN5,CLECL1","CD8+_T_Cells,Endothelial,T_Cell_&_Tumor_Hybrid,Mast_Cells,CD4+_T_Cells,IRF7+_DCs,Myoepi_KRT15+",niche_2,32
MKI67,"ADGRE5,AGR3,AHSP,AKR1C3,ALDH1A3,ANKRD28,AQP1,AQP3,BTNL9,C2orf42,C6orf132,CCDC6,CCDC80,CCR7,CD14,CD163,CD19,CD27,CD68,CD80,CD86,CD8B,CD9,CDC42EP1,CDH1,CEACAM8,CLDN4,CLEC14A,CLECL1,CLIC6,CRHBP,CRISPLD2,CTH,CXCL12,CXCL5","DCIS_2,Stromal,Myoepi_ACTA2+,Mast_Cells,B_Cells","niche_1,niche_2",42
SLC5A6,"ADH1B,AGR3,APOBEC3B,C6orf132,CAVIN2,CD69,CD83,CD9,CENPF,CPA3,CTTN,CXCL12,DERL3,FBLIM1,FCER1A,GATA3,HMGA1,HOXD9,IL3RA,KLRB1,KLRC1,LGALSL","DCIS_1,LAMP3+_DCs",,24
ERBB2,"AKR1C3,ANKRD30A,AQP3,BASP1,CCDC6,CCDC80,CCND1,CD68,CDH1,CEACAM6,CTLA4,CTTN,EPCAM,FASN,FOXA1,GATA3,KRT16,KRT7,KRT8,LAG3,LUM,MDM2,MEDAG,PCOLCE,PDCD1,POLR2J3",DCIS_2,"niche_1,niche_2",29
CCND1,"ANKRD30A,AQP3,AR,BANK1,CAVIN2,CCDC6,CD4,CD9,CDH1,CEACAM6,CTSG,CTTN,DSP,ENAH,EPCAM,ERBB2,FAM49A,FCER1G,FOXA1,FOXP3,DST",Invasive_Tumor,,22
GPR183,"CD3G,CD68,ELF3,ESR1,FASN,FCGR3A,GZMA,GZMK,HPX,IL3RA,KRT6B,MKI67,MZB1,NPM3,QARS,RORC,S100A14,TCIM,TCL1A,TOP2A",T_Cell_&_Tumor_Hybrid,niche_2,22
OPRPN,,,,0
SFRP4,"AKR1C1,AQP3,BACE2,CDH1,CLDN5,CTSG,EDNRB,ESR1,FAM107B,FLNB,FSTL3,GPR183,GZMB,IL2RA,KRT14,KRT15,LIF,LUM,PCOLCE,RAPGEF3,SMS,DST","Stromal_&_T_Cell_Hybrid,Perivascular-Like",,24
